method,path,auth_required,allow_usc,allowed_exe_paths,handler,source_file,source_line,source_url
POST,/api/fingerbot/upload,true,true,[],FingerbotApi._upload_handler,kvmd/apps/kvmd/api/fingerbot.py,336,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/fingerbot.py#L336
GET,/api/gpio,true,true,[],UserGpioApi.__state_handler,kvmd/apps/kvmd/api/ugpio.py,43,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/ugpio.py#L43
POST,/api/gpio/pulse,true,true,[],UserGpioApi.__pulse_handler,kvmd/apps/kvmd/api/ugpio.py,55,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/ugpio.py#L55
POST,/api/gpio/switch,true,true,[],UserGpioApi.__switch_handler,kvmd/apps/kvmd/api/ugpio.py,47,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/ugpio.py#L47
GET,/api/hid,true,true,[],HidApi.__state_handler,kvmd/apps/kvmd/api/hid.py,100,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L100
POST,/api/hid/events/send_key,true,true,[],HidApi.__events_send_key_handler,kvmd/apps/kvmd/api/hid.py,306,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L306
POST,/api/hid/events/send_mouse_button,true,true,[],HidApi.__events_send_mouse_button_handler,kvmd/apps/kvmd/api/hid.py,317,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L317
POST,/api/hid/events/send_mouse_move,true,true,[],HidApi.__events_send_mouse_move_handler,kvmd/apps/kvmd/api/hid.py,328,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L328
POST,/api/hid/events/send_mouse_relative,true,true,[],HidApi.__events_send_mouse_relative_handler,kvmd/apps/kvmd/api/hid.py,335,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L335
POST,/api/hid/events/send_mouse_wheel,true,true,[],HidApi.__events_send_mouse_wheel_handler,kvmd/apps/kvmd/api/hid.py,339,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L339
